File Name,Skills
14589288.pdf,blade track and balance
14790629.pdf,"audio, excellent oral, contracts, customer satisfaction, excellent customer service, customer service, customer support, databases, dependable"
14874322.pdf,"customer service, delivery, documentation, inspecting, coding, scanner, shipping"
15618327.pdf,accounting
15684810.pdf,"security, aviation, class, comprehensive large array data stewardship system, weapons, apqp, circuits, operations, wiring, clinical trial"
15823995.pdf,"adobe, benefits, coaching, competitive, contact management, contact management, counselor, clients, databases, forms, hand tools, human"
16279537.pdf,works well independently
16449694.pdf,effective time management
16833515.pdf,typing speed  words per minute  quickbooks  apple or macintosh computers  ms outlook  photoshop  ms powerpoint  ms
16850314.pdf,work history
17008356.pdf,bb strategic selling
17152392.pdf,"streamline, balance, budgets, business process improvement, change management, competitive, continuous improvement, contracts, cost"
17274759.pdf,"logistics forecastingplanning, project manager, supply chain management, inventory management, logistics management"
17483843.pdf,"approach, basic, budget, ca, product development, documentation, fast, functional, hand tools, logistics, materials, mentor, excel, microsoft"
17655479.pdf,exceptional problem solver natural leader
17686472.pdf,"communication, safety, autocad, customer service, database, quality, research and design, sap, root cause failure modes and effects"
17694572.pdf,clinicaladministrative skills
17876954.pdf,stockroom procedures process improvement
17983430.pdf,excellent analytical skills
18268860.pdf,"blueprints, catia v, inspecting, inspection, inspector, risk management, technical manuals"
19284293.pdf,flight test management systems integration and test
19506295.pdf,solid edge microsoft projects
19818707.pdf,executive summary
20026169.pdf,work history
21190805.pdf,"adobe, cpr, clients, customer satisfaction, customer service, customer care, forms, fundraising, instructor, interior design, letters, mac"
21287405.pdf,report creation personnel mentoring
22168194.pdf,microsoft office photocopiers
22232367.pdf,"computers, sql, customer support, database, networking, oracle, plsql, project management, software configuration, aviation, web"
22442947.pdf,strategic planning
22650051.pdf,troubleshooting skills
22990761.pdf,"anesthesia, c, clients, policies, presenting, recording, safety, surgery, therapy, vital signs, xrays"
23464505.pdf,strong analytical skills capable of working simultaneously on diverse projects individually and as
23761385.pdf,"business management, human resources management, operations management, strategic analysis"
23985183.pdf,secret security clearance critical thinking
24154692.pdf,process improvement knowledge of quality systems
24544244.pdf,customer service specialist
24589765.pdf,work history
24668861.pdf,training program implementation
24773845.pdf,"uha, ambulance, army, budget, creative thinking, financial, functional, government, inspection, leadership, leadership development"
25625173.pdf,complex problem solver
25718772.pdf,"and expertise to prepare a special variety of dishes in a professional, rewarding environment"
25719936.pdf,firmware design
26279402.pdf,"shielded metal arc weld flat, vertical, horizontal and overhead position"
26819872.pdf,"air force, basic, computer literate, delivery, directing, documentation, email, forklift, forms, frame, inspection, inspecting, inspection, intel"
26888302.pdf,"api, approach, attention to detail, basic, color, hardware, content, conversion, data analysis, documentation, downstream, drivers, film"
27502951.pdf,substantial knowledge of all microsoft windows operating domestic  international regulatory compliance
27512470.pdf,"account management, calendaring, client relations, computer proficiency, coordination, creative problem solving, critical thinking, customer"
27902692.pdf,"a certification, active directory, cisco, hardware, designing, directing, disaster recovery, email, itil, lan, managing, access, microsoft"
28020046.pdf,client relations software dynamics crm
28186635.pdf,"air force, basic, budget, customer service skills, databases, first aid, government, information technology, inspection, inventory, regulatory"
29161565.pdf,"hour current osha  cfr  hazardous us navy article, radiological control technician"
29167286.pdf,"streamline, army, hardware, ctc, documentation, functional, hydraulics, instruction, instructor, logistics, materials, monitors, organizational"
29221006.pdf,"accounting, basic, budgeting, budget, data entry, english, financial, forms, funds, human resources, hr, labor relations, leadership"
29534737.pdf,"blue print reading, blueprints, calibration, cnc, grinders, lathes, machinery, machining, weapons, natural, oil, quality, reading, recording"
29595906.pdf,dependable
30148777.pdf,"accounts payable, accounts receivable, accounts receivables, administrative, advertising, attorney, balance, credit, client, clients, customer"
31605080.pdf,"active directory, hardware, customer service, inventory management, inventory, logistics, mac, windows, problem solving, receiving"
32720816.pdf,"cash handling, customer service, databases, driving, email, inventory, materials, navy, next, packaging, payroll, pricing, quality control, safety"
34419403.pdf,"friendly  informative with residents, guests, and staff"
36252245.pdf,outstanding research and analytical abilities assist with material until all unusable waste has been turned over to the natural resources
36727173.pdf,"select one  naval aviation survival training  marine corps institute city, state, usa"
37473139.pdf,work history
38047274.pdf,state certified nurse assistant
38154903.pdf,critical thinking          decision making
38355831.pdf,aviation systems troubleshooting
38663892.pdf,"accounting, administrative, administrative duties, analyst, army, budgets, budget, conferences, cost analysis, credit, dts, staff training, english"
38989376.pdf,"accounting, accounts payable, administrative, aims, arbitration, cash flow, conferences, council, customer service, directing, financial"
42427521.pdf,"adobe, army, blueprints, budget, c, c, cables, charts, content, cpr, customer service, databases, database, delivery, detail oriented, fast"
42546558.pdf,"travel agent, flight hours keeper, trainer, excellent communication, fast learner, content, high motivation, excellent customer service, manager of"
42641525.pdf,en route air traffic controller from august   january
43408471.pdf,"administrative, analyst, computer programmer, configuration management, cpr certified, cpr, critical thinking, data analysis, data base"
43720116.pdf,"ada, cad, css, design software, eit, excel vba, html, inspection, layout, macros, excel, powerpoint, word, microstation, producing"
49646155.pdf,contracts
50775901.pdf,"administrative, administrative assistant, army, bachelors, interpersonal, criminal justice, database, detailoriented, employee relations, fast"
54232810.pdf,medical terminology
58048626.pdf,"accountancy, accounting system, agency, budgets, budget, business plan, excellent communication, contracts, contract negotiation, client"
61315605.pdf,"accounting systems, active directory, cables, cd, change management, hardware, critical thinking, client, customer service, customer support"
65219288.pdf,"agency, balance, budgets, contracts, delivery, government, inventory, loss prevention, managing, meetings, access, personnel, policies, program"
67631413.pdf,customer service
68216398.pdf,"operating a air separation unit to produce fda quality oxygen, nitrogen, and argon liquids"
69458502.pdf,demonstrated by number years of experience
70198580.pdf,"full understanding of all applicable policies, procedures, rules, and regulations"
77626587.pdf,skilled in ms office
81588968.pdf,"accounting, blueprint, budgeting, budgets, business correspondence, c, computer knowledge, conversion, draw, clients, customer satisfaction"
82738323.pdf,licensed faa rated airframe and powerplant ap technician
87826037.pdf,"matlab, avl, c programming, microsoft word, microsoft excel, microsoft powerpoint"
90318913.pdf,"electromechanical skill, trouble shooting, installation of pipes and pumps, problem solver, design of controls for pumps and motors installation"
91431878.pdf,quality assurance of aircraft parts and subsystems
92283635.pdf,"basic, calibration, conversion, cpr certified, dc, electronics, frame, leadership, team leader, logic, logistics, mathematics, office, radar"
94137171.pdf,"aps, casimpact, csf, aviation supply chain, lean manufacturing, materials, microsoft excel, office, powerpoint, word, inventory"
96457008.pdf,"assembler, lcd, mechanical, ess, paint, painter, sales, soldering, phones, video"
98389424.pdf,resource management
99416532.pdf,"dedication to customer service, often remaining flexible with availability to accommodate as many customers as possible"
10329506.pdf,"microsoft word for windows, excel, power point, access, adobe pagemaker, adobe photoshop, dreamweaver, visio, unix, oracle i"
10909673.pdf,"streamline, banking, budgets, business solutions, commercial lending, conversion, credit, crystal reports, database, documentation, dos, senior"
11065180.pdf,"strong interpersonal and communication skills at all levels microsoft office excel, word, powerpoint, sharepoint, and project"
11262933.pdf,"key, account management, atm, balance, billing, call center, cash management, hardware, cpr certified, client, clients, customer satisfaction"
11266906.pdf,"solid communication, interpersonal, time management, organizational, and leadership skills"
11637468.pdf,"accounting, accounts payable, banking, business development, cash management, commercial lending, communication skills, credit, credit"
11672279.pdf,"accounting, analyst, banking, bloomberg, business process, cash flow, conversion, credit, credit risk, client, clients, derivatives, documentation, drafting, senior management, financial, financial statements, fixed income, hp, investment banking, isda, legal, meetings, ms office suite"
11773925.pdf,"articulate, business analysis, business development, business operations, excel, negotiation, relationship management, sales planning"
11842348.pdf,"sales, market research, sales staff, sales team, the sales, and sales, clients, regional sales, sales director, solutions, wealth management"
12021752.pdf,"acquisitions, closing, contracts, credit analysis, clients, due diligence, equity, financing, financial, financial statements, funds, government, investment"
13173522.pdf,experience
13393401.pdf,strategic planningmanagement
13982572.pdf,"accounting, accounts payable, accounts payable and receivable, auditing, balance sheet, billing, bookkeeping, budgets, cash receipts, closing"
14391434.pdf,"analytical skills, attention to detail, budgets, excellent communication, concise, consultant, clients, data entry, database, delivery, educator, excel"
14626780.pdf,"accounting, administration, preparing trial balance, balance sheet analysis, bank reconciliation, billing, budgeting, forecasting cash flows, cash"
15553584.pdf,"managerial accounting, legal environment of business, financial management, operations management, business"
15856762.pdf,"accounting, banking, budgets, business development, business plans, capital markets, cash flow analysis, cognos, consulting"
16300459.pdf,"language proficient in chinese, fluent in english"
16407619.pdf,typing  wpmtenkey  kspm
17131084.pdf,"accounting, biotechnology, bloomberg, book, budgeting, commodities, client, clients, database, drafting, due diligence, equities, equity, senior"
17189156.pdf,"microsoft excel, microsoft word, and microsoft outlook"
17213671.pdf,"software pc and mac environments computerized cash registers, invoice, scheduling, and inventory software, microsoft windows and"
17276884.pdf,"accounts receivable, billing, business analysis, business process, cms, clients, customer satisfaction, decisionmaking, documentation, senior"
17396388.pdf,negotiation leadership
17818707.pdf,"microsoft word, excel, and power point software microsoft word, excel, outlook, adobe photoshop, outlook and databases clarity"
17823436.pdf,"go live, ad, applications master, approach, automate, automation, banking, bi, business intelligence, c, c, change management, competitive"
18172739.pdf,"administrative, budget, capital markets, cash management, closing, credit, client, clients, documentation, leadership, team lead, legal, letters"
18208580.pdf,detailoriented excellent problem solving skills and extensive social media marketing experience
18278509.pdf,"account management, banking, business plans, calculus, corporate finance, clients, client relations, economics, equity, financial, financial"
18369400.pdf,coaching
18457785.pdf,clear quest  sharepoint decisionmaking and conflict
18645964.pdf,"administrative, banking, call center, coach, coaching, credit, clients, customer satisfaction, customer service, database, detailoriented, fast"
18805506.pdf,proficient with bloomberg  reuters newswire applications along with ms office proficiency
18824120.pdf,"financial planning  analysis, analytical skills, forecasting, portfolio  wealth management, financial reporting, business analysis, financial"
19149865.pdf,"key, accounting, budget, business administration, c, call center, cash deposits, change management, coaching, com, cpi, client"
19176318.pdf,work history
19374660.pdf,excellent communication skills
19437318.pdf,safe and vault operation
19911786.pdf,"accounts receivable, advertising, banking, billing, bookkeeping, budget, hardware, conferences, council, credit, client, clients, databases"
19920687.pdf,"loans, mortgage, sales, and sales, mortgage loans, clients, escrow, multifamily, real estate, sales goals, sales meetings, accounts and, allsales, audits, basis, cash, closing, coaching, consultative sales, customer accounts, customer service, effective sales, lending, operations"
20850529.pdf,"communication skills, excellent customer service, account management, data entry, directing, documentation, project development, computer"
20992320.pdf,microsoft office suite factset ipreo
21297521.pdf,"cloud amazon ec, rds and other iaas, elastic beanstalk paas, lambdas serverless, api gateway, alexa, fargate etc"
21645690.pdf,procedure development
21756639.pdf,"seo, sem, social media"
21796843.pdf,"employee relations, hr, training, credit, solutions, accountability for, change management, labor law, lending, proactive, self motivated"
21856577.pdf,team leadership positive attitude
22615491.pdf,"cash handling, enthusiastic people person, advanced problemsolving, great organizational skills knowledgeable of microsoft word, excel"
23323001.pdf,"i work to a very high standard, with an eye for detail, goal orientated"
24580361.pdf,experience
25080805.pdf,excellent quantitative skills customeroriented
25162378.pdf,"photoshop, imageready, ms project, ms office word, access, excel, powerpoint"
25200253.pdf,accomplishments
25624652.pdf,powerfaids process implementation
25780596.pdf,"accountant, arbitration, banking, budget, cash receipts, cash registers, coaching, credit, customer"
26579709.pdf,"thorough and comprehensive knowledge of policies and procedures bankruptcy, fdcpa, fcra, ssa, fannie maefreddie macusda"
26673507.pdf,"microsoft office word, excel, power point, outlook share point, wells fargo systems"
26987539.pdf,"academic, account management, advertisements, approach, art, banking, budgets, budget, business development, coach, conflict management"
27120528.pdf,"adobe, photoshop, streamline, attorney, audio, closing, hardware, computer networking, client, clients, customer service, decision making"
27606527.pdf,"account reconciliation, ad, agile, automation, banking, basic, billing, bonds, budget, call center, cashier, com, ca, hardware, controller, clients"
27884470.pdf,contract negotiation
28051330.pdf,"benefits, budget, coaching, counseling, customer satisfaction, customerservice, financial, forecasting, human resource, inventory, managing"
28419927.pdf,industry partnership development
28895997.pdf,"notary medallion microsoft word, excel detail oriented"
28989677.pdf,"proficiency with personal computers and pertinent mainframe systems and software packages, including ms office suite, amlofac"
29093426.pdf,"administrative duties, call center, credit, credit"
29406313.pdf,"streamline, analyst, agency, banking, budgets, budget, business development, capital markets, closing, commercial lending, consulting, clients"
29552167.pdf,team player
29839396.pdf,"java, c, python, app development"
30127072.pdf,"administrative, banking, closing, commercial loans, commercial lending, conferences, credit, credit risk, client, customer service, delivery"
30713796.pdf,"banking, strong interpersonal skills, cooking, credit, client, excellent customer service, customer service, direction, fast, features, inventory"
31025785.pdf,"acquisitions, contracts, due diligence, equity, feasibility studies, finance, financing, financial modeling, german, hindi, korean, languages, director"
31710562.pdf,accounting
32980197.pdf,"account reconciliation, automation, balance, banking, business plans, cashier, consultant, credit, client, clients, customer service, direction"
33135102.pdf,"budget, client, clients, data collection, documentation, financial, financial management, grants, works, negotiations, policies, problem"
33286293.pdf,"microsoft office, public speaking, proficient in spanish"
33370664.pdf,crisis prevention intervention computersavvy
33872500.pdf,account analysis  reconciliation
34185495.pdf,"clients, credit, investment banking, cash, cash management, forecasting, municipal, sales, accounts and, associate, credit analysis, financial analysis, financial services, its, management sales, market share, mutual fund, mutual funds, real estate, award, ipo, business"
34758680.pdf,"accounting, automation, balance sheet, banking, branding, budgeting, budget, bi, capacity planning, credit, creditrisk, clients, client relations"
34783330.pdf,"accounting, ecommerce, financial, financial statements, funds, gross profit, insurance, inventory, market, mas, medical billing, money, ms"
34953092.pdf,"programming language cc, python, matlab, sql, r, lua, vba"
3547447.pdf,"loans, mortgage, documentation, lending, liability, loan processor, mortgage lending, processor, ups, underwriting, fha, foreclosure, cash"
35483925.pdf,"premier, banking, benefits, billing, book, business administration, crm, clients, customer support, english, financial, focus, functional, funds"
35492909.pdf,"account reconciliation, accounting, administrative, bookkeeping, c, ca, consulting, contracts, credit, client, clients"
35564026.pdf,microsoft office proficiency
36302399.pdf,"accounting, assistant manager, banking, benefits, branding, budgeting, business development, call center, coach, cold calling, clientele, client"
36905896.pdf,"analyst, banking, benefits, cashier, cd, coach, coaching, com, credit, clients, customer service, debit, email, issue receipts, legal, meetings"
38897568.pdf,"administrative support, automation, automotive, banking, budgets, interpersonal, interpersonal skills, oral, hardware, customer service, customer"
39142536.pdf,"banking, budget, competitive, hardware, consultant, credit, client, clients, delivery, electronic commerce, financial, grants, hp, ibm, law, lotus"
39247950.pdf,"net, net, asp net, aspnet, aspnet, ajax, asm, banking, basic, business objects, c, css, css, customer"
39569771.pdf,accomplishments
41651672.pdf,"approach, banking, benefits, book, coldcalling, competitive, credit, client, clients, customer service, documentation, features, financial, financial"
43375498.pdf,"armed forces, banking, quality coaching, competitive, credit, customer service, financial, goal setting, inventory, team development, managing"
45167858.pdf,types  wpm friendly
54421668.pdf,goaloriented
60182829.pdf,budgeting expertise
60489316.pdf,"years of experience in system z and distributed applications development on zos, programming languages  cobol, pli, plsql, egl"
64589506.pdf,strategic business development emerging markets
65864767.pdf,"banking, c, cash flow, cashmanagement, concept, council, counseling, cpr certified, credit, client, clients, customer service, equities, financial"
68781345.pdf,vendor and relationship management expertise
69243180.pdf,"client, clients, decision making, delivery, equity, finance, financial, fixed income, insurance, investments, team leader, managing, marketing"
70667011.pdf,strong compliance and operational background
71422121.pdf,"net, agile, apple, approach, ask, banking, basic, benefits, book, browsers, content, credit, clients, databases, database, debit, documentation"
72876163.pdf,data management
73157997.pdf,"key by touch, accounting, photoshop, banking, developing business relationships, coaching, competitive, customer service, delivery"
74552449.pdf,loan operations strong lead development skills
77156708.pdf,due diligence
79041971.pdf,"assistant manager, customer satisfaction, excellent customer service, inventory, reconciling, recruiting, sales, employee training"
87867370.pdf,"sales force, sales prism, ncino, oracle, genesis customer relationship management system, client product implementation system cpi"
89049979.pdf,customers
96493528.pdf,credit analysis
98348532.pdf,"data warehouse knowledge, database design, oracle sql, sdlc, teradata, sql testing, unit testing, business requirements gathering"
98965485.pdf,financial  analytical experience
99124477.pdf,languages  cobol
11183737.pdf,proven written and oral communication skills
13964744.pdf,diploma in computer applications nicet institute
15145575.pdf,"active directory, backup, ccna, cisco, cisco certified, computer hardware, hardware, client, customer satisfaction, dec, dhcp, dns"
15573418.pdf,"account management, a p, bb, behavioral health, business development, business operations, business planning, business process, call center"
16492045.pdf,"administrative duties   active learning, calendaring, client relations, computer proficiency, coordination, creative problem solving"
18589927.pdf,"attention to detail, billing, customer services, data analysis, documentation, email, english, organize files, financial, financial reports, investments"
23933031.pdf,"account management, bb, balance, budgets, budget, business development, business intelligence, contract negotiations, clientele, client, clients"
24727739.pdf,"telecommunication, multitasking call center, coaching, contracts, client, customer service, data entry, documentation, financial, insurance, team"
26829350.pdf,"accounts payable, accruals, ad, ap, automation, trial balance, book, client, clients, debit, dell, documentation, email, fixed assets, forms, hp"
27710853.pdf,"program management, service management, client relationship management, sales and solutioning, transition management, performance"
30709029.pdf,"asset management, administrative, client relations, computer proficient, conflict management, contract negotiation, digital photography, file"
31064969.pdf,"accruals, budget, call center, change management, counseling, financial, financial management, forecasting, functional, hr, invoicing, leadership"
38707449.pdf,"microsoft office word, outlook, pp, excel, vurv, taleo, banner, brass peoplesoft, hireexpress, sap  hris policy, and fmp"
41152404.pdf,technical profile
45077654.pdf,adept m ultitasker
57706851.pdf,"a level, analyst, arts, as, bridges, c, call centre, ccna, cisco, closing, coach, computer hardware, hardware, credit, client"
63158213.pdf,"routers cisco xx, xx, xx, xx, xx, xx, xx xx series  asr k  k series"
69097572.pdf,"adobe, advertisements, art, coaching, interpersonal communication, excellent communication, creative design, client satisfaction, customer"
79261033.pdf,"business management, conversion, client, customer satisfaction, customer services, customer service experience, direct sales, direction"
89512321.pdf,jamshedpur
95625660.pdf,"acquisitions, banking, c, cl, closing, cpa, credit, client, clients, database, filing, hr, insurance, inventory control, microsoft dynamics, mis"
10228751.pdf,"proficient with microsoft word, excel, powerpoint, access and outlook express  optimizer, wfx, stafferlink, healthtrust, and bullhorn"
10235211.pdf,"acquisitions, audio, bachelors, business development, contracts, client, clients, databases, financial, notes, meetings, money, negotiating"
10289113.pdf,"sales, business development, distributor sales, territory sales, district sales, sales of solutions, sales teams, sales accounts, national"
10501991.pdf,ms office suite
10541358.pdf,problem solving
10704573.pdf,"business development, complex sales strategy, public policy, enterprise software, software as a service saas, infrastructure as a service"
11088337.pdf,"ads, advertising, avid, budgets, budget, business strategies, cable, cash flow, coach, client management, content, contracts, sc, client, clients"
11289482.pdf,"budget, business development, call center, coaching, communication skills, consultant, credit, customer service, decision making, direction"
11551946.pdf,"sales, marketing, sales and, consultative sales, and marketing, marketing management, of sales, product support, strategic planning, direct"
12059198.pdf,"acute care, administration, benefits, budget, business development, contracts, customer service, interpersonal, leadership, marketing, presentations"
12230301.pdf,work history
12377803.pdf,identify and capitalizing on opportunities
12546838.pdf,determined team player
12814706.pdf,won beazer homes national marketing award for best idea contributing to  new home sales in one day
13080868.pdf,"coaching, cost controls, marketing, point of sale, promotional, advertising and marketing, sales, business management, cooking, corporate"
13199813.pdf,"business development, superb customer service, cold calling, relationship building, marketing, market research, various crm software"
13574264.pdf,"account management, ads, advertising, automotive, budget, business development, closing, competitive, crm, clients, customer service, driving, finance, financing, focus, hiring, inventory, leadership, managing, marketing strategies, marketing, mentoring, online marketing, personnel"
13888506.pdf,"sales software salesforcecom, tapscan"
14055971.pdf,"microsoft software word, excel, outlook, powerpoint"
14070138.pdf,including the ability to present to an executivelevel audience passion for gaining personal relationships with clients strong understanding and use of
14287992.pdf,general financial accounting and control
14726000.pdf,"atm, banking, brochures, budget, counselor, credit, senior management, financial, director, market, marketing materials, meetings, mentoring"
14752209.pdf,"microsoft suite excel, word, power point"
14861855.pdf,cash handling
14871762.pdf,python
14990354.pdf,attitude
15233524.pdf,"assembly, banking, clients, database management, directing, email, senior management, fast, fundraising, government, human resource"
15423153.pdf,"administrative duties, ad, ads, approach, bb, budget planning, budget, business development, competitive, content, content management"
15811992.pdf,career summary  sales professional
16091352.pdf,skilled in ms office
16519708.pdf,skills experience total years last used
16694152.pdf,"articulate, benefits, business plan, closing, cold calling, competitive, consultant, corporate training, client, clients, customer satisfaction, delivery"
16846478.pdf,"advertising, application development, basic, billing, business development, business plans, cold calling, computer maintenance, hardware"
17095812.pdf,energetic work attitude
17115815.pdf,"proficient with sap crm, ms office applications, advanced"
17421910.pdf,"ms office word, excel, powerpoint, publisher, outlook, constant contact, asa"
17597372.pdf,"d, budgets, color, council, cpt, client, floor plans, forklift, manufacturing processes, presentations, real estate, safety, sales, seminars"
17602815.pdf,"accounting, budgets, business development, computer literate, concise, conferences, conflict resolution, contracts, draw, client, clients, customer"
17730889.pdf,"adobe acrobat, microsoft office, outlook, client and employee management, excellent customer service skills, client relations, privileges"
18236085.pdf,"agency, benefits, brochure, budget, business development, business plan, coach, contracts, client relations, financial, home health, homecare"
18293620.pdf,customer targeting
18311419.pdf,"academic, behavioral health, budgeting, coaching, cold calling, contract negotiations, contracts, conversion, customer relationship management"
18757174.pdf,"agency, billing, conferences, customer support, database, special events, hazardous waste disposal, hazardous waste, leadership, regulatory"
19557384.pdf,strong business acumen
19738730.pdf,proficient with large cooking machines
20357858.pdf,salesforce
20427934.pdf,"accounting, adobe, ad, budgeting, coach, coaching, contracts, clientele, client, data collection, fluent in english, senior management, financial"
20553895.pdf,fca kain automotive training  steps to digital success
20633855.pdf,customer communications account management
20748929.pdf,skills experience total years last used
22025574.pdf,networking
22423839.pdf,"army, banking, business development, clients, international sales, inventory management, inventory levels, inventory, latin, logistics, director"
22765255.pdf,"packaging, accountable for, maintenance, operations, training, associate, autocad, cbt, computer based training, engineer, fdot, machine"
23396633.pdf,"marketing, marketing strategy, business development, healthcare, advertising, business plan, clients, hpux, media relations, unix, ux"
23568641.pdf,customer relationship management crm software salesforce
24412546.pdf,"accounting, budget, cold calling, credit, client, clients, staff training, financial, director, marketing, market, marketing and management, materials"
24647386.pdf,"business development, client relationship builder, alternative transportation client account management, contract negotiations, customer"
24964303.pdf,new business development
25370801.pdf,"agency, delivery, insurance, materials, policies, roofing, selling, sales"
25397102.pdf,business process improvement fast learner
25813953.pdf,"advertising, competitive, content, contracts, customer satisfaction, customer service, customer support, fashion, fast, functional, marketing"
26278597.pdf,proficient in the use of msoffice word excel powerpoint
26581830.pdf,"active learning, client relations, computer proficiency, creative problem solving, critical thinking, data collection, data entry"
26896699.pdf,"banking, c, closing, hardware, consulting, contracts, customer relationship management, crm, client, clients, email, energy saving, focus"
27004930.pdf,work history
27139412.pdf,brand development
27213082.pdf,strong verbal communication team leadership
27219200.pdf,"sales, pcb, increase, account manager, new accounts, budget, of sales, sales staff, budgets, circuit board, printed circuit, printed circuit"
27375577.pdf,"streamline, approach, balance sheet, bonds, budgeting, business development, cash flow, clinical research, clinical trials, com, consulting, corporate"
27796199.pdf,outstanding work ethic and time management skills
27850777.pdf,careful and active listener
27937592.pdf,"budget, business strategy, consultation, customer relationship management, delivery, direct mail, directing, driving, email, senior management"
28916894.pdf,"fluent in  european languages english, french, italian and greek"
29014805.pdf,"bi, business intelligence, progress, loans, mortgage, business development, marketing, operations, training, solutions, adc, business"
29208172.pdf,budgeting
29825044.pdf,"adobe creative suite, adobe acrobat, photoshop, advertising, api, benefits, branding, business development, competitive, competitive"
29908929.pdf,contract administration skills
30938994.pdf,"seasoned leadership, experienced manager, motivated, balanced"
31273310.pdf,"account management, business development, client relations, cold calling, computer literate, computer proficient, creative problem solving, crm"
31638814.pdf,"banners, brochures, developing business, bi, contracts, client, clients, customer service, english, financial, managing, meetings, promotional"
31813535.pdf,powerful negotiator
32042584.pdf,"automotive, c, com, credit, client, clients, ip, marketing, market, microsoft office programs, optimization, page, predict, presentations, profit"
32385553.pdf,energetic
32531824.pdf,microsoft office suite
34046031.pdf,"microsoft office programs, sharepoint, peoplesoft, adp payroll, and internet applications and research"
34797369.pdf,"knowledge of digital marketing and advertising, social media linkedin, facebook, twitter"
35673335.pdf,"accounting, abc, advertising, business development, business intelligence software, closing, cms, com, consultant, content, content"
36170003.pdf,"salesforce, siebel, fox and bullhorn crmats experience"
36574147.pdf,"computer, interpersonal, customer service, analytical, relationship driven, training, presentational, sales"
36805025.pdf,"a, advertising, architect, army, articulate, agency, budgets, business development, business solutions, calculator, call center, cisco"
37391947.pdf,"benefits administrator, benefits, benefits administration, call center, clients, customer satisfaction, customer service, documentation, fashion"
37521676.pdf,key decision making conflict resolution
38688388.pdf,business development  sales leadership sales presentations
39237915.pdf,leadership development
40792022.pdf,"administrative functions, budgeting, budget, business development, competitive, contracts, contract negotiation, client, clients, documentation, senior management, expense reporting, focus, forecasting, insurance, inventory, team building, leadership, access, microsoft office suite"
47067533.pdf,highlights
59696315.pdf,"communication, influencing and negotiating skills"
61677751.pdf,"appointment setting, art, bb, billing, business analyst, business development, business modeling, business operations, business process"
67501448.pdf,"responsible and reliable, highly motivated for career advancement, able to deal in a mature manner with problem solving, willing to learn and"
76916835.pdf,"benefits, business planning, closing, competitive intelligence, concise, contracts, clients, customer service, marketing, office, multitasking, oil"
77576845.pdf,"basic, budgeting, budgets, budget, communications skills, counseling, client, customer relations, customer satisfaction, senior management"
79759716.pdf,"microsoft word, excel, powerpoint, keynote, sengrid, facebook advertising"
80275976.pdf,exceptional multitasker
81310245.pdf,marketing skills
82118447.pdf,"account management, adp, business law, case management, corporate finance, counselor, crisis intervention, client relations, decision"
89197180.pdf,product development
90629382.pdf,strong interpersonal skills team building expertise
91467795.pdf,business development market research and analysis
95382114.pdf,account management
10001727.pdf,"ada compliance, auditing, computer programming, contracts, cpr, credit, customer satisfaction, customer"
10276858.pdf,highly skilled in cooking and preparing a variety of cuisines
10333299.pdf,"advertising, automobiles, consultant, customer relations, data management, financial planning, food safety, hiring, inventory control"
10588874.pdf,supervision and training
10653119.pdf,hands on knowledge of all phases of food preparation from casual to fine dining and catering
10889157.pdf,kitchen management
11121498.pdf,"flexible temperament, able to accomodate changes of plans and special requests smoothly proficient cooking for specialty diets including various"
11209758.pdf,"administrative, ads, arabic, business development, contracts, customer relationship management, client, clients, customer satisfaction, energy"
11432686.pdf,"sharepoint bpc and sap microsoft suite word, excel, powerpoint, microsoft access microsoft project microsoft dynamics"
11444536.pdf,operations streamlining  customer service
12155206.pdf,"microsoft office word, powerpoint, excel, outlook"
12254068.pdf,"advertising, agency, balance, benefits, budget, consultant, creativity, address customer complaints, client, customer satisfaction, customer service"
12420359.pdf,"basic, interpersonal, excellent oral, customer services, customer service, focus, general manager, inventory, leadership, meetings, excel"
12717345.pdf,food standards enforcement
13095891.pdf,product development staff training
13212436.pdf,kitchen design  workflows
13264154.pdf,"photoshop, arts, budgeting, costing, desktop publishing, english, health and safety standards, illustrator, inventory, microsoft word, quality"
13411858.pdf,enthusiastic people person
14569498.pdf,product development fluent in spanishcommunicates effectively
14663897.pdf,and the ability to get things done overcoming any obstacles
15180322.pdf,understands mobility assistance needs trained in catheter change and preparation
15261348.pdf,account management
15354126.pdf,focus on portion and cost control
16066857.pdf,"acute care, conferences, leadership, profit and loss, retail sales, selfmotivated, staff development and motivation, team leadership and"
16248476.pdf,bilingual food handlers card
16594812.pdf,"credit, clients, personnel, sales reports, tables"
16804396.pdf,"conflict resolution, cost control, excellent customer service, customer service specialist, documentation, inventory control, leadership, team leader"
16855929.pdf,"assistant manager, delivery, direction, front office, next, coding, receptionist, safety, supervisor"
16924102.pdf,"consistently working to high standards, gain indepth familiarity with any kitchens operations, serve safe management certified, knowledge of"
18036030.pdf,mental health assessments machine operations
18825446.pdf,"allergies, basic, cash handling, closing, oral communication, cooking, cost analysis, cost control, customer service, fashion, fast, features"
19007667.pdf,"delivery, detail oriented, english, inventory, inventory management, logistics, producing, purchasing, quality, retail, scheduling, spanish, workflow"
19268120.pdf,proven leader
19285236.pdf,"fiduciary, eventfloor planning, leadership, sales, teaching"
